Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
temperas,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,13,"7,69%","0,08","0,08","50,00%","50,00%","0,00",0,0,"0,00%","6,15"
pintura acrilica,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,27,"3,70%","0,06","0,06","44,44%","55,56%","0,00",0,0,"0,00%","2,20"
set para pintar cuadros,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,2,"50,00%","0,49","0,49","100,00%","100,00%","0,00",0,0,"0,00%","245,00"
pintura artística,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,34,"2,94%","0,01","0,01","61,11%","77,78%","0,00",0,0,"0,00%","0,29"
pinturas para arte,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,59,"1,69%","0,16","0,16","42,31%","65,38%","0,00",0,0,"0,00%","2,65"
kit para pintar cuadros,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,32,"3,13%","0,13","0,13","31,58%","68,42%","0,00",0,0,"0,00%","4,06"
dibujo pintura artistica,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",1,19,"5,26%","0,05","0,05","75,00%","100,00%","0,00",0,0,"0,00%","2,38"
monitor,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Notebooks y laptops,USD,"0,01",1,7,"14,29%","0,02","0,02","0,00%","50,00%","0,00",0,0,"0,00%","2,27"
computadoras portatiles precios,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Notebooks y laptops,USD,"0,01",1,10,"10,00%","0,02","0,02",0,0,"0,00",0,0,"0,00%","2,00"
lego star wars,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Star Wars,USD,"0,01",1,16,"6,25%","0,18","0,18","50,00%","100,00%","0,00",0,0,"0,00%","11,44"
star wars uruguay,Limitado,baja calidad,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Star Wars,USD,"0,01",1,6,"16,67%","0,21","0,21","16,67%","33,33%","0,00",0,0,"0,00%","34,79"
dinosaurios para niños,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Jurassic World,USD,"0,01",1,25,"4,00%","0,23","0,23","0,00%","0,00%","0,00",0,0,"0,00%","9,35"
puzzle,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",1,32,"3,13%","0,05","0,05","33,33%","85,71%","0,00",0,0,"0,00%","1,53"
juego de mesa para niños,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",1,12,"8,33%","0,40","0,40","25,00%","37,50%","0,00",0,0,"0,00%","33,33"
juegos de mesa para adultos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",1,9,"11,11%","0,08","0,08","66,67%","100,00%","0,00",0,0,"0,00%","8,68"
monopoly juego,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",1,3,"33,33%","0,08","0,08","50,00%","100,00%","0,00",0,0,"0,00%","28,29"
juegos de mesa familia,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",1,13,"7,69%","0,01","0,01","33,33%","66,67%","0,00",0,0,"0,00%","0,67"
burako,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",1,6,"16,67%","0,09","0,09","75,00%","75,00%","0,00",0,0,"0,00%","14,64"
accesorios de bebe,Apto,,Concordancia amplia,Search | Primera infancia,Alimentación / Descanso,USD,"0,01",1,59,"1,69%","0,14","0,14","26,09%","73,91%","0,00",0,0,"0,00%","2,42"
juguetes 0 a 2 años,Apto,,Concordancia amplia,Search | Primera infancia,Estimulación,USD,"0,01",1,10,"10,00%","0,15","0,15","66,67%","66,67%","0,00",0,0,"0,00%","15,00"
accesorios barbie,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Barbie,USD,"0,01",1,26,"3,85%","0,18","0,18","40,00%","53,33%","0,00",0,0,"0,00%","6,88"
barbie uruguay,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Barbie,USD,"0,01",1,3,"33,33%","0,23","0,23","50,00%","50,00%","0,00",0,0,"0,00%","76,67"
pinceles para óleo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinceles,USD,"0,01",1,1,"100,00%","0,06","0,06","100,00%","100,00%","0,00",0,0,"0,00%","64,87"
cosas de papeleria para oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,33,"3,03%","0,10","0,10","44,44%","66,67%","0,00",0,0,"0,00%","3,03"
material de papeleria para oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,19,"5,26%","0,31","0,31","50,00%","66,67%","0,00",0,0,"0,00%","16,47"
tienda de material de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,45,"2,22%","0,01","0,01","0,00%","0,00%","0,00",0,0,"0,00%","0,22"
almacen de material de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,47,"2,13%","0,01","0,01","33,33%","66,67%","0,00",0,0,"0,00%","0,21"
tienda articulos de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,49,"2,04%","0,01","0,01","26,32%","36,84%","0,00",0,0,"0,00%","0,20"
compra articulos de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,39,"2,56%","0,09","0,09","30,00%","60,00%","0,00",0,0,"0,00%","2,43"
papelería y material de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",1,21,"4,76%","0,04","0,04","0,00%","100,00%","0,00",0,0,"0,00%","1,90"
accesorios,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Accesorios,USD,"0,01",1,85,"1,18%","0,30","0,30","20,00%","73,33%","0,00",0,0,"0,00%","3,53"
lienzo para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Set / Kits de arte,USD,"0,01",1,32,"3,13%","0,03","0,03","62,50%","93,75%","0,00",0,0,"0,00%","1,08"
kit manualidades,Apto,,Concordancia amplia,Search | Genérica | Arte,Set / Kits de arte,USD,"0,01",1,2,"50,00%","0,75","0,75","100,00%","100,00%","0,00",0,0,"0,00%","375,00"
libros de colorear,Apto,,Concordancia amplia,Search | Genérica | Arte,Set / Kits de arte,USD,"0,01",1,3,"33,33%","0,22","0,22","50,00%","100,00%","0,00",0,0,"0,00%","74,65"
marcadores acrilicos,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",1,9,"11,11%","0,38","0,38","50,00%","100,00%","0,00",0,0,"0,00%","42,09"
marcadores posca,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",1,14,"7,14%","0,11","0,11","66,67%","77,78%","0,00",0,0,"0,00%","8,13"
marcadores de alcohol,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",1,5,"20,00%","0,21","0,21","33,33%","66,67%","0,00",0,0,"0,00%","41,16"
lapices profesionales,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",1,30,"3,33%","0,09","0,09","50,00%","62,50%","0,00",0,0,"0,00%","2,88"
marcadores ohuhu,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",1,4,"25,00%","0,13","0,13","50,00%","100,00%","0,00",0,0,"0,00%","32,48"
impresora laser,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",1,10,"10,00%","0,01","0,01","0,00%","33,33%","0,00",0,0,"0,00%","1,00"
impresora multifuncional,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",1,13,"7,69%","0,01","0,01","0,00%","50,00%","0,00",0,0,"0,00%","0,77"
cartuchos epson,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",1,4,"25,00%","0,01","0,01",0,0,"0,00",0,0,"0,00%","2,26"
notebook,En pausa,en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
laptop,En pausa,en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tablet,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
nintendo,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
toner hp,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora,En pausa,en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computadora,En pausa,en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
play station 4,En pausa,en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
play station 5,En pausa,en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora hp,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlantes,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook hp,En pausa,en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora multifunción,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartucho hp,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares bluetooth,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auriculares inalambricos,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook lenovo,En pausa,en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
laptop lenovo,En pausa,en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora laser,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartucho canon,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
teclado de computadora,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora epson,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante jbl,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante bluetooth,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies espacio,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies monstruo,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies unicornio,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular intra wireless volkano pico,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular intra wirlss volkano sprint v2,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular volkano phoenix bt rosa,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante bt volkano texture,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano burst bt neg,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano fabric bt dark grey,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano mamba bt azul,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano mega bazooka sqred blk,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano stun blk,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies espacio,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies mariposa,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies monstruo,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular amplify kiddies unicornio,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular intra wireless volkano pico,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular intra wirlss volkano sprint v2,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
auricular volkano phoenix bt rosa,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora epson l3210 multifunción con botellas,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante bt volkano texture,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano burst bt neg,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano fabric bt dark grey,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano mamba bt azul,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano mega bazooka sqred blk,No apto,no suele publicarse; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
parlante volkano,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Tecnología,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
agenda,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
material de oficina,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
papeleria,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
sobres,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libreta,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
papel a4,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
block de notas,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
productos de papeleria,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tiendas de papeleria,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
papeleria on line,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
insumos de oficina,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
articulos de escritorio,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
insumos para oficina,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
articulos de oficina,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libreton,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Oficina,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mouse,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mouse pad,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
hp pavilion,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook oferta,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
notebook ofertas,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ofertas notebook,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
laptop hp,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tinta impresora,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
toner impresora,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
teclado,No apto,baja calidad; campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computadoras laptop,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
teclados inalambricos,No apto,campaña en pausa,Concordancia amplia,VM_S_B_NB_Product_Tecno,S_B_NB_Product,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
